,listing_id,address,no_rooms,price,property_types,property_link,reduced/added,date_reduced/added,no_pictures,latitude,longitude,agent_name,agent_number,most_recent_scrape_date,initial_scrape_date
126,58540560,"197 Long Lane, London",1,"£475,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-58540560.html,Added ,2018-03-12 00:00:00,8,51.498747,-0.084646,"Hastings International, London Bridge",020 8012 3343,22/02/2019,21/02/2019
127,77527436,"Strathnairn Street, London",1,"£310,000", flat,https://www.rightmove.co.uk//property-for-sale/property-77527436.html,Added ,2018-11-29 00:00:00,12,51.49091,-0.064787,"Doorsteps.co.uk, National",01298 445019,22/02/2019,21/02/2019
128,56857455,"The Wireworks, 80 Great Suffolk Street, London Guide Price £475,000-£500,000",1,"£475,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-56857455.html,Reduced ,2018-11-29 00:00:00,8,51.501304,-0.09945,"Hastings International, London Bridge",020 8012 3343,22/02/2019,21/02/2019
129,79116920,"Metro Central Heights, 119 Newington Causeway",2,"£450,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-79116920.html,Reduced ,2018-11-28 00:00:00,8,51.49597,-0.09929,"Garrett Whitelock, London Bridge",020 3858 3333,22/02/2019,21/02/2019
130,69628432,"Newington Causeway, Elephant and Castle",2,"£450,000", flat,https://www.rightmove.co.uk//property-for-sale/property-69628432.html,Reduced ,2018-11-28 00:00:00,11,51.495815,-0.099282,"Dexters, London Bridge",020 7650 5100,22/02/2019,21/02/2019
131,67296538,"Jamaica Road, Bermondsey, SE16",1,"£359,950", flat,https://www.rightmove.co.uk//property-for-sale/property-67296538.html,Reduced ,2018-11-27 00:00:00,9,51.498167,-0.066267,"Foxtons, London Bridge",020 8012 6757,22/02/2019,21/02/2019
132,67146301,"Pages Walk, London Bridge",1,"£325,000", flat,https://www.rightmove.co.uk//property-for-sale/property-67146301.html,Reduced ,2018-11-27 00:00:00,8,51.493093,-0.083171,"Dexters, London Bridge",020 7650 5100,22/02/2019,21/02/2019
133,77419655,"Spa Road, London, SE16",1,"£450,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-77419655.html,Added ,2018-11-26 00:00:00,7,51.49592,-0.07079,"Right Now Residential, London",020 3858 2523,22/02/2019,21/02/2019
134,66154915,"Hankey Place, Borough, SE1",2,"£450,000", flat,https://www.rightmove.co.uk//property-for-sale/property-66154915.html,Reduced ,2018-11-24 00:00:00,7,51.499584,-0.088537,"Foxtons, London Bridge",020 8012 6757,22/02/2019,21/02/2019
135,58320450,"Wightman Road, London",1,"£325,000", flat,https://www.rightmove.co.uk//property-for-sale/property-58320450.html,Added ,2018-11-22 00:00:00,6,51.502418,-0.090798,"Kings Group, Haringey - Sales",020 8012 1444,22/02/2019,21/02/2019
136,66374005,"Weston Street, London",3,"£500,000", flat,https://www.rightmove.co.uk//property-for-sale/property-66374005.html,Reduced ,2018-11-21 00:00:00,9,51.497833,-0.084591,"The Express Estate Agency, Nationwide",0161 468 0617,22/02/2019,21/02/2019
137,58262946,"Arch Street, Elephant & Castle",1,"£425,000", flat,https://www.rightmove.co.uk//property-for-sale/property-58262946.html,Added ,2018-11-20 00:00:00,12,51.49505,-0.09803,"Kinleigh Folkard & Hayward - Sales, London Bridge",020 8012 2031,22/02/2019,21/02/2019
138,58225101,"Chevron Apartments, 294 St James's Road, London",1,"£425,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-58225101.html,Added ,2018-11-19 00:00:00,8,51.486175,-0.065676,"Hastings International, London Bridge",020 8012 3343,22/02/2019,21/02/2019
139,77265527,"Lynton Road, London",1,"£320,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-77265527.html,Added ,2018-11-19 00:00:00,10,51.48994,-0.06051,"Global House Estates , London",020 8012 3014,22/02/2019,21/02/2019
140,77255825,"Tooley Street, SE1",1,"£500,000", flat,https://www.rightmove.co.uk//property-for-sale/property-77255825.html,Added ,2018-11-19 00:00:00,9,51.501166,-0.076926,"sellmyhome.co.uk, London",020 8012 7402,22/02/2019,21/02/2019
141,58134201,"32 Long Lane, Borough, SE1",1,"£500,000", flat,https://www.rightmove.co.uk//property-for-sale/property-58134201.html,Added ,2018-11-16 00:00:00,13,51.500939,-0.091635,"Purplebricks, covering London",0121 396 0233,22/02/2019,21/02/2019
142,57901587,"Luna House, 37 Bermondsey Wall West, London",1,"£485,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-57901587.html,Added ,2018-08-11 00:00:00,6,51.501059,-0.067329,"Hastings International, London Bridge",020 8012 3343,22/02/2019,21/02/2019
